TF	Log10Events	MDS_difference	p-value
P73_1	3.15044940946088	0.03683334046087609	0.00367674550507
MEIS1_0	2.822494985278751	0.05497936901657781	0.00405265049671
NKX61_1	4.2440295890300215	-0.007560183019135877	0.00429243778026
ZN467_0	4.203277720892417	-0.009553643029833745	0.00442695720823
BHE41_0	2.521138083704036	-0.08059780427484368	0.00445675376532
LHX4_0	3.2053397214315225	0.01979609061461405	0.00446346450948
ZN121_0	4.037326877689722	0.007654905592717422	0.00460471231713
E2F8_0	2.712228669619535	-0.049652816650840065	0.00543603058059
RARA_0	3.496376054012401	0.01917065056591971	0.0056599032457
THA_0	3.521399628115375	0.014077091869405237	0.00597064830841
ISX_0	3.1444185186020683	-0.01927439630636204	0.00630098756931
PBX1_1	2.574609941340187	0.03285026255815039	0.00640781663702
NFE2_0	2.687528961214634	-0.08505372453200091	0.0068010342952
ZN148_0	3.7818271529324274	-0.01751381671383906	0.0068983034931
FOSB_0	3.2003031829815844	-0.04510618601054925	0.00759465097146
SOX3_0	3.176235999760871	0.03186919190489229	0.00764921305949
SP2_0	3.93422061592042	-0.017727951891020888	0.00787608923371
ZN341_1	2.8065191340807045	0.05300722342935543	0.00875888196404
ZN335_1	4.1938478199735565	0.008498953202187827	0.0100472220739
NR2F6_0	2.701136066092526	0.04720349602090754	0.010216782656
VEZF1_0	4.3184702953066765	-0.007565770445738222	0.0110959143842
BRAC_0	2.691523522168154	0.047022840018462006	0.0117807206402
NRL_0	2.5622928644564746	-0.07802619145210643	0.0117834693005
PRRX1_0	3.716754357432697	0.013600143366302166	0.0130821390165
NKX25_0	3.6111389003956456	0.01847253626148722	0.0134070864956
GBX2_0	2.9198622535555376	0.021740185482920497	0.0134260810695
HXC6_0	2.070037866607755	0.09103819932281065	0.0141111389775
TBX2_0	3.133219456732494	0.01747495732749057	0.0145671764937
ZSC16_0	2.0064660422492313	-0.10090514358080932	0.0148855344477
HXA1_0	2.896526217489555	0.02560634020218005	0.0156411847485
SMAD1_0	2.977037335224681	0.03574597688330171	0.0176883601921
EVX2_0	3.1007150865730817	0.025925018190229493	0.0192746933977
COE1_0	2.946206553842783	0.03817411475098062	0.0206989144186
PAX5_0	3.8761312040620655	0.008045739654527874	0.0207069801388
ZN384_0	2.853698211776174	-0.03436036653628152	0.0213613483718
AIRE_0	2.815577748324267	0.03462342266757183	0.0223545618014
COT1_1	3.2132520521963963	0.025771114116512533	0.0228584594153
MEF2B_0	3.0388187873736556	0.025827238315957485	0.0229774262253
FUBP1_0	3.664688974580239	0.010860079229231193	0.0230994164547
HXB2_0	2.473486970064568	-0.049194106681092274	0.0233992179408
SP2_1	3.421192468305749	-0.028414370101762593	0.0257090918029
NR4A2_0	2.7934411329776636	0.0382379882951015	0.0266072603379
OVOL1_0	2.7323937598229686	-0.0366635857566159	0.0269207720241
BHE40_0	2.6464037262230695	-0.04352617723976057	0.0274299711539
