TF	Log10Events	MDS_difference	p-value
STAT1_0	3.620136054973757	-0.03315436586351203	2.36296751067e-12
SMCA5_0	2.0334237554869494	-0.3638459751234655	7.01256357863e-09
FOXJ2_0	3.0716979452216138	-0.03525148321976747	4.37132510506e-06
SUH_0	2.3304137733491905	0.07897353716251353	0.00224432212548
SALL1_0	3.4074758852912552	-0.024459987912166147	0.00474584560441
IRF3_0	3.7540806421901647	-0.011858280290921366	0.00562903838956
MYB_0	2.093421685162235	-0.10727360242558714	0.0068370809253
PPARG_1	1.9890046156985366	0.07391891948624739	0.00953865732319
NKX28_0	2.1673173347481756	0.07759324091641037	0.0132747253946
TF7L2_0	1.9731278535996983	-0.07401654674290217	0.0174902897191
RREB1_0	2.9838517189914713	-0.02318467568291648	0.020899165385
PPARA_1	2.3064250275506875	0.04545034515281337	0.0265283067003
SOX9_1	2.420780619548565	0.04844722137303984	0.0275868016084
GATA3_0	2.1687920203141817	0.055290488481207614	0.0360917033436
ELF1_0	2.0	-0.14378078383164436	0.041604967033
NFAC1_1	2.4969296480732144	-0.04197301919946181	0.0436204763446
NR4A2_0	2.0773679052841563	0.054376573770012086	0.044956040282
KAISO_0	1.5250448070368452	-0.2345884929126744	0.0505328869334
FOXP2_0	2.340444114840118	-0.03808245899225696	0.0562637439986
TF7L1_0	2.2355284469075487	-0.048064406533936906	0.0568092866083
GLI1_0	1.9444826721501687	0.06253647928689558	0.0602714687328
HXD10_0	2.2013971243204513	-0.039288627683563934	0.066012089385
PEBB_0	2.393575203269587	0.04506071509688922	0.0752799155307
MEIS1_1	2.0899051114393976	0.04668729057258739	0.0774570605661
ATOH1_0	2.5327543789924976	-0.045634904230824905	0.0787698694181
NKX61_0	2.0663259253620376	-0.03610921835581368	0.0818729681924
ETV2_0	2.3293978793610424	-0.06324379701141017	0.0826233718915
NDF2_0	2.1367205671564067	-0.0586712782007027	0.0858608139752
PTF1A_0	2.3293978793610424	0.061364518622216396	0.0872316738797
HLTF_0	2.3521825181113623	0.04339727686693552	0.0902946980247
FUBP1_0	2.8263987821876175	-0.014113878241631198	0.0908156981764
NDF1_0	2.2291697025391004	-0.05113840436691419	0.0924049847681
SP3_0	3.5077884294281425	-0.017587019336777057	0.0924201003731
MAF_1	2.383815365980431	0.046255029180847645	0.0953943742952
PO2F1_0	1.9912260756924949	-0.07805779534936819	0.0961647072237
TBX20_0	1.8808135922807911	0.059771263184886535	0.0999869709948
NFAC1_0	1.6989700043360185	-0.09895537602955755	0.101559747587
SMAD1_0	2.343408593803857	0.05596678092099695	0.104782239089
COT1_0	2.4183012913197452	0.02834232626814474	0.105784625934
COT1_1	1.8893017025063101	0.05372190961031655	0.109442369054
SOX2_0	1.8356905714924254	-0.04001431708849862	0.11304370594
NR1H3_2	2.3550682063488506	0.028199609752840978	0.114370490188
FLI1_1	3.201533673443382	-0.015305729980431487	0.120853288609
P73_0	1.7323937598229684	0.07811755104336952	0.121416214116
ARI3A_0	2.6730209071288957	-0.011702613821772958	0.123762406435
FOXP3_0	2.3664229572259727	0.019048413391697532	0.136136972821
KLF6_0	3.2831881164534233	-0.01931187256230257	0.136821352751
TF2L1_1	2.2540644529143377	-0.045186318999630964	0.138550877839
NANOG_1	2.1383026981662816	0.051346078757720334	0.138647089605
NFAT5_0	1.716003343634799	0.039263547903652087	0.145569552823
HXA13_0	2.0606978403536114	-0.03513571486476365	0.145984385721
SRF_0	1.7993405494535815	0.07882974915799719	0.150993455534
RXRA_1	2.4409090820652173	-0.03184861789289909	0.154511703984
MYBA_0	1.8948696567452525	-0.09370964137205823	0.155484472832
SP1_1	3.1190908524217216	-0.02344335423335883	0.156418582565
SOX9_0	1.9242792860618814	0.03633568454885934	0.166089967647
EGR2_1	3.2735799456762056	0.01565124363787854	0.169074081775
ETS1_0	2.340444114840118	-0.05787787876047151	0.171165175145
PKNX1_0	1.9777236052888476	0.05960828253410101	0.17125218182
NKX61_1	2.6190933306267423	-0.017377538770296186	0.171849516233
SRBP2_0	2.483587296968894	0.03510920992966296	0.171905980802
MAZ_0	3.9969929818907053	-0.0056833303767702785	0.174329412151
MEIS1_0	1.8195439355418683	0.028750251676070152	0.176366166832
ESR2_0	1.9493900066449126	0.06412114271706428	0.177352789803
HIC1_0	2.0043213737826426	0.06297600434842478	0.181511537864
CREB1_0	1.7671558660821802	0.10510999168280019	0.182760732035
SOX5_0	2.728353782021228	-0.01426511736146327	0.183744340625
WT1_1	2.716420733846555	-0.028541982945232854	0.185500715987
BATF_1	1.9518230353159116	0.06358850669437016	0.18654717469
GATA5_0	1.9344984512435675	-0.033802101120185085	0.187526554306
MSX2_0	2.6884198220027105	-0.015017391940096565	0.188193778675
ZIC1_0	2.3738311450738303	0.0345548446914255	0.196517415323
RFX3_1	2.0718820073061255	-0.04473526901441949	0.202014242325
ARI5B_0	1.9800033715837462	0.04088143189935563	0.204712811576
MAFF_0	1.7481880270062005	0.03178055470637318	0.205301526897
NGN2_0	2.2068258760318495	-0.0454053167470142	0.206827377173
NFKB1_0	1.7781512503836434	-0.057496834571016106	0.208352016426
HXC9_0	1.6434526764861872	0.04011388803970651	0.208662242073
CDX1_0	2.5705429398818973	0.013317432492428262	0.210748515275
MAX_0	1.8721562727482925	-0.07865642615314289	0.213160549023
TBX21_0	2.130333768495006	-0.04222738180156334	0.214966443123
PRGR_1	2.487138375477186	-0.023171403904122017	0.216707523472
RXRG_1	2.4892551683692603	0.021000835017079025	0.218823783264
AP2A_0	2.4141373621844764	0.04042854979071245	0.219980224999
FOXA2_0	2.2108533653148927	-0.024484022922670524	0.22326569976
KLF1_0	2.9790929006383258	-0.023776533428165516	0.226481532617
ZN322_0	1.7481880270062005	-0.08609151215315752	0.226689821475
ISL1_0	2.141449773400467	0.04595452216569734	0.231634295715
GLI3_0	2.0549958615291413	0.04291762635746352	0.232244178346
UBIP1_0	3.736874361648422	0.006678376947573703	0.233373106637
KAISO_1	1.469822015978163	-0.1544263418453509	0.235554681844
MYOG_0	2.494850021680094	0.03690083811385381	0.241393775867
TBP_0	1.8692317197309762	-0.04082218501965422	0.242136789381
SP5_1	3.2802368096096894	0.013739545080442037	0.242462124822
CTCFL_0	2.0433622780211294	0.06319956628006634	0.248319230999
TFDP1_0	2.2612628687924934	-0.04858828051919298	0.248399091537
KLF5_0	2.963315511386111	-0.02227884270804167	0.249930884297
NFIL3_0	1.6334684555795864	-0.026552778626960153	0.251932695397
PRDM1_0	2.2214142378423385	0.030378235949457804	0.254222711732
HXC8_0	1.6384892569546372	-0.025943022529399177	0.257135475831
PPARD_0	1.9030899869919433	-0.05529256492488599	0.257795631382
ONEC2_0	1.6232492903979003	0.06400213799178625	0.258166476406
ZKSC1_0	1.7708520116421442	-0.055001054489029116	0.26046322602
MAFG_0	1.4771212547196624	-0.03726706434124587	0.260615066342
NFAC2_1	3.0293837776852093	-0.011000104799306524	0.261407252968
SRY_0	3.216693599169754	-0.00595107821754751	0.262263711926
ERR1_0	2.277609214304091	-0.025047761904552126	0.264067430022
PRDM5_0	2.371067862271736	-0.03537096044514197	0.264576212864
EVI1_0	1.5622928644564746	0.03070528588916888	0.264587546809
DLX3_0	1.8129133566428552	-0.041180374711944634	0.26522912679
NANOG_0	2.0916669575956846	-0.031693213179159414	0.267171828751
SOX18_0	1.8388490907372552	-0.057587261385580846	0.268732061776
E2F7_0	2.5321171162488034	-0.03537371440868026	0.271542441301
HNF4G_0	2.041392685158225	-0.04355013312431466	0.271781489684
RFX6_0	2.0899051114393976	-0.04276399459545768	0.273458987818
STA5B_0	2.2999429000227667	0.02635069045297952	0.277617058792
CRX_0	1.785329835010767	-0.0451950200062705	0.283740258457
ERR2_0	2.2648178230095364	-0.02123886535215302	0.287100785134
SRBP1_0	2.0951693514317546	0.046807242034196866	0.288185762724
COT2_0	2.3064250275506875	0.022887538119544883	0.288343038205
CREM_0	1.8893017025063101	-0.06205159898422338	0.288538970518
HNF4A_0	1.9614210940664483	-0.04303907011325164	0.290211239057
ZN335_1	3.2750808984568582	0.009563741983231334	0.294418221687
HXD4_0	2.515873843711679	0.0153965321072922	0.294603818772
GRHL2_0	1.9057958803678683	-0.0400023427614558	0.295137409864
MYOD1_1	2.417471693203293	0.03644886659308802	0.2957201111
HESX1_0	1.6074550232146683	0.09234966039743009	0.296615998257
ELF3_0	2.325310371711061	0.033233136992027804	0.298136269738
DLX2_0	1.877946951629188	-0.013747900578179664	0.299477754908
OLIG2_0	2.3232521001716866	-0.030915042091297845	0.301735346999
CTCF_0	2.144574207609616	0.051168309808414	0.304695894366
RFX1_1	2.0170333392987803	-0.03879620762296647	0.308255353539
NR1I3_1	2.7520484478194382	-0.013228514586785842	0.309677435583
NFAC3_0	2.2504200023088936	0.0209191314853994	0.309943689448
HXD9_0	2.405687786672777	-0.01657655726941584	0.311356947551
MEIS2_0	1.785329835010767	-0.03222267370363489	0.31790469437
ERG_0	2.412460547429961	-0.036441734209193055	0.319817858592
ZIC2_0	1.9822712330395682	0.04782323873603497	0.324877186354
VDR_0	1.8260748027008262	-0.051999207198388714	0.325629752203
FOXK1_0	1.9164539485499248	-0.0346410139210778	0.327445453789
ZEP1_0	1.8027737252919753	0.04457817375399223	0.327647427142
HAND1_1	3.1826999033360424	-0.01331118920469648	0.329905175252
SP7_0	1.7403626894942439	-0.017681810885024667	0.332542382404
EGR2_0	2.949633923799262	-0.017227672713802596	0.333014175839
MAFF_1	1.6580113966571122	0.05501287793869641	0.335544511755
NFKB2_0	1.8721562727482925	-0.044935131568136624	0.335980172639
PRGR_0	1.8481891169913987	-0.04527747498323545	0.336834356685
PO5F1_1	2.1889284837608534	-0.025563841315528708	0.337474624935
SNAI2_0	2.2911467617318855	0.028394865352097443	0.337626854237
MYBB_0	2.0718820073061255	0.031198783536366726	0.340483511282
SOX15_0	3.243410141653711	0.007866238500363543	0.345427355377
TBX2_0	1.8061799739838869	-0.029003759019117017	0.34663946621
USF1_0	1.8356905714924254	0.0698449780598388	0.351539296787
PO6F1_0	1.2787536009528289	0.04844722137303985	0.351563710117
IRF2_0	2.2600713879850747	-0.026405564373600653	0.35231101854
ZEP2_0	1.8893017025063101	-0.06044500418585236	0.353064933267
MCR_0	1.9469432706978251	-0.027256731094022928	0.354997180212
BRAC_0	1.9822712330395682	0.026419249345067817	0.361348227643
LHX3_0	2.2253092817258624	0.02616668192885239	0.361824433375
ZIC3_0	2.0625819842281627	0.03574606330415732	0.365042303403
CDX2_0	2.1889284837608534	-0.016359825606825924	0.365538010979
HMGA2_0	1.217483944213906	0.0540027769285954	0.367527469004
GCR_0	1.8129133566428552	-0.05081978175120913	0.368157448339
GCR_1	2.398807730203264	-0.016051773746110307	0.370234464663
P63_1	2.302114376956201	0.025148792053668132	0.372859412683
CUX2_0	1.9344984512435675	0.02689420653705237	0.373689274313
P73_1	2.218797998111737	0.02934898090383165	0.373824475883
HIF1A_0	1.8808135922807911	0.05492677785259631	0.375839067566
PLAG1_0	2.4563660331290427	0.025451036996237856	0.378550536032
IRF8_0	2.093421685162235	-0.029701508661000475	0.380799168633
HXD13_0	1.8129133566428552	-0.034958210013646046	0.380904980851
BHE40_0	1.7817553746524688	0.0537291042411296	0.383410536731
HEN1_0	1.5854607295085006	0.08211793662270245	0.385079543937
HSF2_0	1.8750612633916997	0.03370363162945011	0.385191532193
IKZF1_0	2.9057958803678683	0.009943179245916808	0.385515429385
THB_0	2.0021660617565074	-0.03214683803290075	0.385859119421
NR0B1_0	2.3502480183341623	0.036041655961514374	0.386559113355
BATF3_0	1.877946951629188	0.04214676507258355	0.386729661643
FOXO3_0	2.0773679052841563	-0.025295599750366795	0.388638958316
ASCL1_0	2.4281347940287885	0.028126722039285738	0.389628352998
COT2_2	2.1335389083702174	0.029035711438547943	0.389788949678
GATA1_1	2.1986570869544226	0.02121457747372928	0.389923600427
HXB4_0	2.5769169559652068	-0.01569312950415314	0.390312268811
HXB8_0	1.8195439355418683	-0.025699516495546172	0.391789959701
FOXD1_0	1.7283537820212282	-0.027439303449655186	0.393481540995
ATF4_0	1.5622928644564746	0.06235699580913007	0.394180154666
KLF3_0	3.229553863981136	-0.0126874600184767	0.396360235664
MAFA_0	2.1055101847699738	0.035267253444089555	0.402128951361
SP2_0	3.450941579072346	-0.0103735420026306	0.402307390369
PTF1A_1	2.387389826338729	0.027936025766787224	0.403628946931
CUX1_0	1.3424226808222062	-0.10155277862696016	0.405668267468
NFIB_0	2.4727564493172123	-0.024411735687044297	0.40676100831
