TF	Log10Events	MDS_difference	p-value
STAT1_0	3.7323937598229686	-0.05058005087013298	1.447388377e-18
SMCA5_0	2.064457989226918	-0.33096623044583134	4.69056549398e-08
SP5_0	3.8421097634406096	0.03240500119451309	1.32167218281e-07
WT1_0	3.6598686816626795	0.03152550131653781	8.88920349575e-05
STA5B_0	2.487845120111435	0.08825061224605116	0.000898855154129
STAT1_1	2.4337698339248655	0.09747256455514115	0.00110131823092
HXD9_0	2.4742162640762553	-0.03148587027083127	0.0044586503742
ETS2_0	3.217878578027433	-0.027679960617691943	0.00573023263208
SALL4_0	3.1367205671564067	0.03209277455640305	0.0104172546058
RFX1_1	2.1398790864012365	-0.08343377051804825	0.0124340244658
MAZ_0	4.065785050499866	0.010182600082190007	0.0124848844022
SOX4_0	2.484299839346786	0.05084497373195865	0.0204797278761
ANDR_1	2.615950051656401	0.04050193444125687	0.0233828349377
STA5A_0	2.6247975789607607	0.051241459321392416	0.0251959989384
SOX10_1	2.615950051656401	0.03969453212030909	0.0287493937565
CREB1_0	1.9867717342662448	0.13865589194820607	0.029391987139
RFX2_1	2.0986437258170567	-0.07761417110583584	0.0338320462785
NOBOX_0	1.9614210940664483	-0.03972350196841522	0.0348097345354
RUNX3_0	2.3394514413064402	0.057169871838569225	0.0369128157951
HBP1_0	2.1673173347481756	-0.05194437804491397	0.0369503546944
PURA_0	3.181843587944772	-0.024092284877847828	0.0404126085538
HXD10_0	2.252853030979893	-0.036258958256193484	0.0472632098532
FOXO3_0	2.181843587944772	-0.05272595134915955	0.0520851049403
NFAC1_1	2.5682017240669945	-0.03406844640970276	0.0527261584968
NR6A1_0	2.659440781870318	-0.021888400714799014	0.0556983438598
OVOL1_0	2.1986570869544226	0.0456109057672818	0.0573007899831
FOXK1_0	2.0718820073061255	-0.055502128668679956	0.0624358418795
ELK3_0	2.220108088040055	-0.0771179822602569	0.0656835024377
ARI5B_0	2.039414119176137	0.06532412475087915	0.0667266763432
LHX3_0	2.297760511099134	0.043831595622791875	0.0669576939009
GCR_1	2.4571246263034086	0.03607146021121319	0.0758839674072
ZFHX3_0	2.1492191126553797	-0.03908510707557436	0.0770542899589
NR2C1_0	2.1583624920952493	0.06338531371405473	0.079170198503
ITF2_0	2.488550716500444	0.04679824121325471	0.0793515828948
FOXJ2_0	3.1699681739968923	-0.011640692507374798	0.0809761441112
CEBPG_0	1.6989700043360185	-0.09435310973283773	0.0825960292463
MECP2_0	3.5435714239623652	-0.01851148555097762	0.0845618164557
MSX2_0	2.720985744153739	-0.017688528716138838	0.0862843549655
BRAC_1	2.2392994791268923	0.041585543041031986	0.0891368603977
NFIA_1	2.9887818434536397	-0.020700533426252568	0.0931314355156
PIT1_0	2.2367890994092927	-0.02537976677583416	0.0957408049104
ATF4_0	1.6483600109809315	-0.08115702659777917	0.0974527439453
CEBPB_0	1.8808135922807911	-0.04748493987691195	0.101239744756
HXA1_0	2.191730393362856	-0.04264278382507848	0.107350959597
STAT4_0	2.492760389026837	0.04697223999093075	0.108797379444
FLI1_1	3.2440295890300215	-0.01648145814858186	0.109593460769
RUNX1_0	2.3374592612906557	0.04089822040474457	0.114991496694
HMGA1_0	3.0674428427763805	0.011314039602847875	0.116839011482
SOX9_1	2.47639682672533	0.03349760453293718	0.118289704251
MEF2C_0	2.1789769472931693	0.03378745956350369	0.119728750392
SOX18_0	1.921686475483602	0.057166914117047316	0.121013949674
HXB1_0	1.9084850188786497	-0.058458688350660426	0.122395108893
RFX3_0	2.0374264979406234	-0.06646454321249906	0.137161507484
TEF_0	1.9590413923210932	-0.047600116028673464	0.140564904053
HES1_0	1.9030899869919433	0.09089801058409758	0.1408101444
PITX2_0	2.796574333210429	-0.011117337817820528	0.143536564283
MEF2A_0	2.150756439860309	0.03155851890445006	0.152373835104
MLXPL_0	1.0969100130080565	-0.2287883586803308	0.153066658598
TBX20_0	1.9777236052888476	0.056962459650274806	0.157475627339
VDR_0	1.9268567089496922	-0.06588030893017575	0.157762665911
JUNB_0	2.0588054866759067	0.07588069319802346	0.158501194119
NF2L2_0	1.9138138523837167	0.06373878384681177	0.158822644708
NR1I3_1	2.8145805160103183	-0.016885882071971788	0.164772971978
ESR2_0	2.0232524596337114	-0.05037533026730234	0.167523798972
ELF1_0	2.1931245983544616	-0.07752386829980237	0.167923567162
HXD4_0	2.545307116465824	-0.01765689754886962	0.170984783853
GATA1_1	2.2253092817258624	0.04211980277263922	0.17198732131
DBP_0	1.7520484478194385	0.04172446183248976	0.172630909318
RFX3_1	2.1553360374650614	-0.045557468927701864	0.172855913053
PEBB_0	2.497620649781288	0.027959072494034516	0.176325085401
FOSL1_0	2.461648568063455	0.04491564632399875	0.178542308958
EGR2_0	3.0739015583142066	-0.020210003625439732	0.184021425599
ZN335_1	3.3664229572259723	-0.011046667133305514	0.184234684875
MAFG_0	1.4771212547196624	-0.044429384321356395	0.185061811744
HNF1B_0	1.6627578316815739	-0.02881962822379542	0.185148151307
IRF4_0	2.3811150807098502	0.026159909425832087	0.187822682536
FOXJ3_1	3.090258052931316	-0.007793257999657256	0.191496038911
PO4F2_0	1.7888751157754168	0.05091820926153131	0.192422664929
MAF_1	2.426511261364575	0.035129693853576366	0.192868614596
TEAD2_0	2.2380461031287955	0.04001055074357868	0.195302062475
PAX8_0	1.9731278535996983	-0.0524638241083735	0.197637207886
TWST1_1	2.2161659022859928	0.04350605111407904	0.19841899373
FOXD3_0	2.656577291396114	0.015954694640128428	0.200118123998
