TF	Log10Events	MDS_difference	p-value
BRCA1_0	3.2780673308886623	0.041096365405321994	8.36228896248e-05
HAND1_1	3.9987387162558177	0.019162709542827627	0.000152118841273
SP2_0	3.9768770493834436	-0.02417423291610195	0.000154441541926
HMGA1_0	4.087692704811194	0.010720090053111772	0.000201649597942
STA5B_0	3.052116550549998	0.04826351210583443	0.000259264158346
E2F8_0	2.7151673578484576	-0.06412874375429237	0.000348377858201
FOSB_0	3.181843587944772	-0.058474036101503715	0.000622913709653
LMX1A_0	3.2577985291530305	0.018525956260688127	0.000626459440479
ZNF8_0	2.762303363287768	0.06710477263853093	0.000693168295918
PO5F1_1	3.1925674533365456	0.02923991590385094	0.000857823826998
FOXG1_0	3.8109042806687	0.012416194916654506	0.000861951951165
P73_0	2.7547304690237535	0.08156681713324974	0.000868870019478
PATZ1_0	4.113124102016226	-0.014759241646296677	0.000879112700206
TBX15_0	3.8722728462242046	-0.01816063784185067	0.00117300305435
HXD12_0	3.2996162399984126	0.02319405769054179	0.00123485365063
HXD11_0	3.5046067706419537	0.019859713228694943	0.00125549061015
ZNF41_0	2.3856062735983117	-0.08203788766797153	0.00146504122953
ZNF18_0	2.6133131614554594	0.07332674101948461	0.00152091956824
PO2F2_0	2.9235030669421045	0.03705349030648601	0.00161882425058
SCRT2_0	2.529558673021163	0.09463346816134939	0.00173821371691
EVX1_0	2.673481697073347	0.07116038304018855	0.00190192482974
KLF15_0	4.000499151696942	-0.015437970969833697	0.00210638748041
ANDR_1	2.616475513888565	-0.05578827753498376	0.00237884014472
ETV4_0	3.386766415717313	-0.03296647713475369	0.00238585752937
MYBB_0	2.9014583213961123	0.048651231365860484	0.00242454912301
PAX5_0	3.8665236255328432	0.010518549766303708	0.00285567202619
LHX4_0	3.1929853790931624	0.021335017096952506	0.00290904463694
PRRX2_0	3.9590891143673916	0.00969116786715155	0.00307075664849
FOXO1_0	3.195761320036061	-0.031155062554502972	0.00321189652776
LEF1_0	3.3774883833761327	-0.022751787688266998	0.0036555697416
TF65_0	2.718501688867274	0.05482728337650421	0.00389045425851
SP3_0	3.9898945637187726	-0.017703401739666298	0.0042996614467
PO3F3_0	3.4818724103106633	0.01267763620294513	0.0046333062407
PAX4_0	2.8540022331269888	0.029302773258862568	0.00522861573251
MEIS3_0	2.7690078709437738	0.03822670802729506	0.00532663638492
EHF_0	2.984302231979903	-0.05205124454623915	0.00590306184359
CUX2_0	2.9296743179485873	-0.03164652344262917	0.00631511364126
IRX2_0	2.701136066092526	0.05333757560014757	0.00639328736195
FOS_0	3.0618293072946985	-0.05325165951594597	0.00651606049392
ELF2_0	2.7279477095447966	-0.07904131347700889	0.00677774497488
SNAI2_0	3.449401252996221	0.020442744838923787	0.00681543989246
ZN549_0	2.2095150145426303	0.08331003621709303	0.00684907880964
EVX2_0	3.07554696139253	0.03381818044131546	0.00692366007786
GLI1_0	2.617524534886292	0.05675226384846421	0.00739042431687
UNC4_0	2.6536947953150816	0.03137133023229044	0.00764622302863
PBX1_1	2.553276046137099	0.03715488202865333	0.00816342545345
HIF1A_0	2.488550716500444	0.08173361010781434	0.00865040329764
RELB_0	2.7756104480063604	0.04411401393274826	0.00904019235395
ERG_0	3.351796306897023	-0.029621646003997738	0.0102264123845
ZNF85_0	2.5263392773898437	-0.05381021456110018	0.0104340880405
ZN214_0	2.7172543127625493	0.047076792778031104	0.0105985376015
P53_1	2.707570176097936	0.06095147085187651	0.0110738623839
ZN260_0	2.8645110810583914	0.039049997831879055	0.0111282526801
VEZF1_1	3.820628316834088	-0.013582711906649421	0.0111529205734
ZN335_1	4.182842458558692	0.00829865461623344	0.0112056167471
SPDEF_0	2.573451822035485	-0.06502807064435982	0.0114171173126
ZN250_0	2.4305587695227575	-0.05206436870734161	0.0115669353481
LHX3_0	2.894592947922955	0.025567076865253245	0.0121234878343
GBX2_0	2.899273187317603	0.02223759951842366	0.0123834997721
HMGA2_0	1.9845273133437924	-0.09919212596376907	0.0124616205675
MYBA_0	2.4345689040341987	0.07587286488730424	0.0125158843864
BHE41_0	2.515873843711679	-0.06981907757883177	0.0129354341103
LHX9_0	3.0380237400451575	0.01983221924561217	0.0130915351716
ZN382_0	2.276461804173244	-0.04853562425180549	0.0131462138021
KLF12_0	3.4520165659625475	-0.03162393406051407	0.0132225241033
ZN394_1	2.917768002447756	-0.03365094463650528	0.0138234108456
NR2C1_0	2.698535492562001	-0.05231597928547502	0.0143124221933
TAL1_0	2.7234556720351857	-0.06184394369043149	0.0145059575324
ZN263_0	3.8327643049405307	-0.013113946625853178	0.0160575292312
RX_0	3.1161094140633443	0.019677170714297972	0.0160983828451
SP1_1	3.472537053262077	-0.029476193538832924	0.0169292641824
PRRX1_0	3.7034633418832925	0.012773900126364838	0.0187740197911
ZSC22_0	3.173040507551062	-0.030005215325427288	0.0192301057465
MESP1_0	3.483016420144132	0.01729195914044709	0.0192657391184
UBIP1_0	4.456753081211508	0.0059370711116229335	0.0211415137083
BATF_1	2.7347998295888467	0.046973406089630104	0.0212723624301
MAFA_0	2.7615519885641815	-0.04534936275758611	0.0215771321948
ZN394_0	3.753276570184418	-0.0095852244534084	0.021600027584
STA5A_0	3.1765253365349997	0.027319938255925238	0.0230758313588
MGAP_0	1.8864907251724818	-0.06491465809199955	0.0232383338631
FLI1_1	3.3850697763319344	-0.024958061904361412	0.0248236759237
P63_0	2.633468455579586	0.06938811062411511	0.0250277204542
NKX25_0	3.6054666641353714	0.016207114707835004	0.025447287973
PRDM6_0	3.989227273730537	0.007021967233660531	0.025986331868
HXC8_0	2.5178554189300284	0.04171478839793942	0.0266538677615
FOXF1_0	3.368379871623801	0.014497512392474874	0.0268247494492
MEF2B_0	3.040800061256529	0.02545490889478416	0.0268905230098
CEBPB_0	2.9420080530223127	0.023624767296398907	0.0300159628293
ZN134_0	2.1287222843384264	0.07816136244832685	0.0305730717219
VSX1_0	2.8825245379548803	0.021025570715084062	0.0312112742056
SP2_1	3.453929592057728	-0.026285390844931162	0.0312334594277
CEBPD_0	2.8765065042658806	0.02602597266061529	0.0314447637641
HXB1_0	2.5327543789924976	-0.041625855831452244	0.0319015987312
OZF_0	2.8280150642239765	0.035113754851844314	0.0328662696074
