TF	Log10Events	MDS_difference	p-value
<<<<<<< HEAD
=======
	0	0	0
	0	0	0
	0	0	0
>>>>>>> ff222d89782f2fec243caa8b18c03b7823a7a1d7
CPEB1_0	3.865518519074774	0.01714634299405829	1.84859295915e-06
PURA_0	3.6028735310261824	-0.03460903069519592	5.37770944096e-06
HXA9_0	2.9425041061680806	0.07887987101267384	1.33127476376e-05
BRCA1_0	3.3169134391649915	0.04433680203216888	1.89920921458e-05
ZN260_0	2.952308009662125	0.0657095998329232	2.65200780949e-05
NFAC4_0	3.2244035577648384	0.03535951415703875	4.03371089097e-05
ZN148_0	3.8193464840804525	-0.025537439910199335	6.03875345968e-05
OZF_0	2.927370363039023	0.06626727459495178	6.5190545965e-05
MAZ_0	4.359987174441291	0.01233494248635477	0.000188192919242
VEZF1_0	4.348869273711533	0.011378697913765022	0.000232682667575
FOXF1_0	3.4026911642630386	0.02330184201348793	0.00025964681954
JUND_0	3.231469590430681	-0.06051759644061156	0.000270920048253
MEIS1_0	2.827046017004734	0.06679671698460803	0.000285835816221
FOSL1_0	3.3309208305952356	-0.05297704178667046	0.000318089796586
FLI1_0	3.8606074850406094	0.017098170206848957	0.000369156945804
MAFA_0	2.7592900330243038	-0.07320048639788776	0.000375270084785
ZN382_0	2.3550682063488506	-0.08916954755976549	0.000377945870181
MIXL1_0	2.728759475167874	0.05232708706072981	0.000513108706463
SP4_0	3.6929350025311374	-0.03066451766546647	0.000517684938984
NR2E1_0	2.2380461031287955	0.10646892627365825	0.000528876951166
HXA13_0	2.8585371975696385	0.04945912802435046	0.000553870408235
FOSL2_0	3.293914741031102	-0.052473364825172904	0.000599665328857
P73_1	3.1664301138432824	0.04190196800234459	0.000646544079587
ZN214_0	2.7913397039651393	0.06349638580345658	0.000662432885923
EVX1_0	2.747411807886423	0.07223548116683676	0.000823664944542
JUN_0	3.187097500583477	-0.05725252925880687	0.000923290250667
IRF3_0	4.2421561565153585	0.009653006762537102	0.00103418865319
ZN121_0	4.052212835769748	-0.008732841635515305	0.00123520047188
FOS_0	3.090081618038821	-0.061172884773135656	0.0012385144271
JUNB_0	3.334654766883241	-0.04709586207122813	0.00127788148213
EVX2_0	3.1156105116742996	0.03877821705933495	0.00130041640733
FOSB_0	3.214578953570499	-0.05316682515980071	0.00136087642218
SP2_0	3.977723605288847	-0.020262368561265794	0.00136784669037
ZNF8_0	2.870403905279027	0.06229587996824092	0.00137280745467
NFE2_0	2.6739419986340875	-0.09899889272533814	0.00171294387671
RAX2_0	3.027349607774756	0.029339457701283066	0.00184826506372
KLF16_0	3.829110710155294	-0.019907736702810798	0.00191921377298
ZN136_0	2.450249108319361	0.07480190839309186	0.00230334790741
DDIT3_0	2.904715545278681	0.036922751629673685	0.00289087449029
NR1D1_0	2.957128197676813	0.04706361320798264	0.00292491902595
HSF4_0	2.3682868849021306	-0.07637399655908013	0.00322091568794
ZN467_0	4.232945312745227	0.010317839136949815	0.00324376709119
LHX8_0	2.6154239528859433	0.043158867572814716	0.00391453950132
DBP_0	2.727541257028556	0.04434401445763991	0.00404089425995
TBX15_0	3.895753942073728	-0.015944595704733507	0.00418112745668
ZN816_1	2.708845638048179	0.054621256011282766	0.00447562392318
AIRE_0	2.852174904420303	0.04345773063666746	0.00488357813169
NFAC2_0	3.399327532158679	0.023632948705424185	0.00519027250973
MEIS2_0	2.637989780784685	0.054495914802775304	0.00522077586976
HXB13_0	3.0911391538257544	0.029355552178683395	0.00583048530246
CEBPG_0	2.503109436671369	0.06901242347476991	0.0059825954317
ZIC2_0	2.9397687754533495	-0.05172751555614933	0.0060555832515
ZN281_0	3.588439788305526	-0.02175276535988855	0.00617973155243
ZSCA4_0	2.1931245983544616	-0.10254001174348755	0.00620217194463
THA_0	3.537378282830205	0.013536771293753518	0.00621545487386
SP3_0	3.9793434704861377	-0.017119170331037388	0.00624946952967
P63_0	2.636487896353365	0.0881118868189472	0.00707963576763
PEBB_0	3.1817007044159613	0.029781022382273113	0.0085059634364
ZN250_0	2.5921767573958667	0.04591684405201404	0.00905986972193
ARI3A_0	3.6007006960652377	0.010794262234003427	0.00979973655306
RARA_0	3.5153438930883807	-0.01864207443918483	0.0100040831579
ZIC3_0	2.9030899869919433	-0.050073502209770394	0.0100147455756
PAX5_0	3.889497791223372	-0.009016612843455993	0.0100319377842
ESX1_0	2.9503648543761227	0.021549293135552677	0.0102883312942
ZBT18_0	2.966610986681934	0.038305015745353645	0.0108532515471
CEBPE_0	2.4623979978989556	0.05850664658827714	0.012110445863
ZN708_0	2.1746411926604483	-0.10197602153594067	0.0129018973803
ZN317_0	2.5092025223311025	0.057666638734955165	0.0136706908125
MAZ_1	3.6622855157221297	-0.02023216639837614	0.0140506683501
HXC10_0	3.8077717284580443	0.00824659034559743	0.014984405082
HXB3_0	2.9921114877869495	0.018722711294200587	0.0151622209833
ZN333_0	2.3273589343863303	0.0587892332882902	0.016298724266
E2F1_0	2.9802306913910313	-0.04416527984206348	0.0170261706895
TAL1_1	3.01932403715369	-0.03424661119563969	0.0182121908235
P73_0	2.7678976160180904	0.06047898540860624	0.0185807540766
Z324A_0	2.8555191556677997	-0.03348838594433697	0.0193183522043
ZFHX3_0	2.9945371042984976	0.021414549571912543	0.0197214784879
OLIG1_0	2.263636068588108	0.08023746187842597	0.0218041025877
VEZF1_1	3.8401688492407557	0.013182797654114002	0.0223284022914
ZN384_0	2.857332496431268	-0.03448675474197615	0.0236767789853
VDR_1	3.3780343224573315	-0.0189780248149247	0.0252305776751
HXB2_0	2.501059262217751	-0.047695732318188966	0.0260553756403
SOX13_0	3.526210003841664	0.015337843410889125	0.0261503436179
AP2A_0	3.024895960107485	0.03435883891449117	0.0271146385947
FOXJ2_0	3.8558219054060294	0.007953410800694234	0.0281448905354
E2F6_0	3.438225807604529	0.02286779488383172	0.0303591150596
IRX3_0	3.153662453575495	0.017031747193151814	0.0319806871118
LHX2_0	3.11277252110537	0.020405260564644652	0.0321997239865
ATF4_0	2.511883360978874	0.053732738598931844	0.0331092884168
CDX2_0	3.1309766916056168	0.024541059871721567	0.033370052533
ZN528_0	2.343408593803857	0.06721904063094712	0.034188940496
BHE22_0	2.5276299008713385	0.047189978165258814	0.0345900692336
KLF13_0	3.2806921642851172	-0.02784144302871778	0.0349815356228
FOXB1_0	2.597695185925512	0.026490321643891875	0.0364515277908
CR3L2_0	1.9242792860618814	-0.12645681044572693	0.0369376227891
FIGLA_0	2.8215135284047728	0.02679374862719592	0.0376688703937
NOTO_0	2.599337132992489	0.03896146890579021	0.0378616082204
SOX18_0	2.879955585122749	0.03357779867306001	0.0383744984739
ZNF18_0	2.6584883813090165	0.04007953689002002	0.0386612039137
SOX9_1	3.3396501576136837	0.018828695236240235	0.0392378026858
EGR1_0	3.530711837981656	-0.0192389959951779	0.0399573010926
STAT4_0	3.235275876687052	-0.0237207605682239	0.0401889283788
ERG_0	3.375755034755224	-0.023621269117166617	0.0405204922814
HXB4_0	3.350441856535061	0.016948661220301788	0.0424200937435
SNAI2_0	3.4682734645251	0.015365326345442736	0.0432112165919
DLX6_0	3.388988785124714	0.009357504720531967	0.0439732525136
SP4_1	3.62433367169012	-0.018394822456538958	0.0451441127029
